//Room 305 
Wireless,13,3,,(20),,,,,,,,,,,322,,,,,,

Audience Camera,13,22,,(20),,,,,10.156.26.141,,1,,,,249,,,,,,
Presenter Camera,13,21,,(20),,,,,10.156.26.142,,1,,,,250,,,,,,

Wallbox SDI 1,13,24,,(20),,,,,,,0,,,,253,,,,,,
Wallbox SDI 2,13,25,,(20),,,,,,,0,,,,254,,,,,,
Zoom PC Mon 1,13,26,,(20),,,,,,,0,,,,328,,,,,,
Zoom PC Mon 2,13,27,,(20),,,,,,,0,,,,329,,,,,,
Zoom PC Mon 3,13,28,,(20),,,,,,,0,,,,330,,,,,,



//Room 640
PC,14,2,,(21),,,,,,,,,,,441,,,,,,
Laptop,14,1,,(21),,,,,,,,,,,442,,,,,,
Wireless,14,3,,(21),,,,,,,,,,,302,,,,,,
Station N1,14,10,,(21),,,,,,,,,,,447,,,,,,
Station N2,14,11,,(21),,,,,,,,,,,448,,,,,,
Station N3,14,12,,(21),,,,,,,,,,,449,,,,,,
Station N4,14,13,,(21),,,,,,,,,,,450,,,,,,
Station W1,14,14,,(21),,,,,,,,,,,451,,,,,,
Station E1,14,15,,(21),,,,,,,,,,,452,,,,,,
Station S1,14,16,,(21),,,,,,,,,,,453,,,,,,
Station S2,14,17,,(21),,,,,,,,,,,454,,,,,,
Station S3,14,18,,(21),,,,,,,,,,,455,,,,,,
Station S4,14,19,,(21),,,,,,,,,,,456,,,,,,


//Room 642
PC,15,2,,(22),,,,,,,,,,,444,,,,,,
Laptop,15,1,,(22),,,,,,,,,,,445,,,,,,
Wireless,15,3,,(22),,,,,,,,,,,303,,,,,,
Station N1,15,10,,(22),,,,,,,,,,,457,,,,,,
Station N2,15,11,,(22),,,,,,,,,,,458,,,,,,
Station N3,15,12,,(22),,,,,,,,,,,459,,,,,,
Station N4,15,13,,(22),,,,,,,,,,,460,,,,,,
Station W1,15,14,,(22),,,,,,,,,,,461,,,,,,
Station E1,15,15,,(22),,,,,,,,,,,462,,,,,,
Station S1,15,16,,(22),,,,,,,,,,,463,,,,,,
Station S2,15,17,,(22),,,,,,,,,,,464,,,,,,
Station S3,15,18,,(22),,,,,,,,,,,465,,,,,,
Station S4,15,19,,(22),,,,,,,,,,,466,,,,,,


//Room 727 Televiz
PC,16,2,,(23),,,,,,,,,,,561,029851,,,,,
Laptop,16,1,,(23),,,,,,,,,,,562,029844,,,,,
Wireless,16,3,,(23),,,,,,,,,,,50,,,,,,
HDMI Plate North,16,10,,(23),,,,,,,,,,,566,,,,,,
HDMI Plate South,16,11,,(23),,,,,,,,,,,569,,,,,,

Audience Camera,16,22,,(23),,,,,10.156.26.185,,1,,,,565,,,,,,
Presenter Camera,16,21,,(23),,,,,10.156.26.186,,1,,,,568,,,,,,




//731 SimDeck
Throwdown A-HDMI IN 1,17,01,,( 36 ),,,,,,,,,,,521,,,,,,
Throwdown A-HDMI IN 2,17,02,,( 36 ),,,,,,,,,,,522,,,,,,
Throwdown B-HDMI IN 1,17,03,,( 36 ),,,,,,,,,,,524,,,,,,
Throwdown B-HDMI IN 2,17,04,,( 36 ),,,,,,,,,,,525,,,,,,
Throwdown C-HDMI IN 1,17,05,,( 36 ),,,,,,,,,,,527,,,,,,
