//KEY (added 2/8)
//local_id=
//	1-20 Displays (Room 640 requires more than 10)

//	31 USB Video
//	32 Cisco Codec Camera
//	33 Cisco Codec Content
//	34 Zoom Room Content (Room 567)
//	35 Zoom Room PC USB Video (Room 567)
//	50 Panel Preview


//ROOM 305
Panel Preview,09,50,,,,,,,,,,,,,174,,,,,,

Aux Feed,09,,8,,1,4,,,,,,,,,,,,,,,
Cisco Codec Camera,09,,,,1,5,,,,,,,,,,,,,,,
Cisco Codec Content,09,,,,1,6,,,,,,,,,,,,,,,


//ROOM 445
Projector,10,1,,,,,,sony_proj,10.156.26.101,1,,,,5,183,029260,6,(14+),(13^10.156.27.192+),,

USB Video,10,31,,,,,,,,,,,,,172,,,,,,

Panel Preview,10,50,,,,,,,,,,,,,171,,,,,,

Aux Feed,10,,8,,1,4,,,,,,,,,,,,,,,
Cisco Codec Camera,10,,,,1,5,,,,,,,,,,,,,,,
Cisco Codec Content,10,,,,1,6,,,,,,,,,,,,,,,


//ROOM 531
Station N1,11,1,,(21),,,,sony_lcd,10.156.26.121,1,,,,,387,,,,,,
Station N2,11,2,,(21),,,,sony_lcd,10.156.26.122,1,,,,,388,,,,,,
Station N3,11,3,,(21),,,,sony_lcd,10.156.26.123,1,,,,,389,,,,,,
Station N4,11,4,,(21),,,,sony_lcd,10.156.26.124,1,,,,,390,,,,,,
Station W1,11,5,,(21),,,,sony_lcd,10.156.26.125,1,,,,,391,,,,,,
Station E1,11,6,,(21),,,,sony_lcd,10.156.26.126,1,,,,,392,,,,,,
Station S1,11,7,,(21),,,,sony_lcd,10.156.26.127,1,,,,,393,,,,,,
Station S2,11,8,,(21),,,,sony_lcd,10.156.26.128,1,,,,,394,,,,,,
Station S3,11,9,,(21),,,,sony_lcd,10.156.26.129,1,,,,,395,,,,,,
Station S4,11,10,,(21),,,,sony_lcd,10.156.26.130,1,,,,,396,,,,,,

Panel Preview,11,50,,(21),,,,,,,,,,,381,,,,,,

Aux Feed,11,,8,,1,4,,,,,,,,,,,,,,,
Cisco Codec Camera,11,,,,1,5,,,,,,,,,,,,,,,
Cisco Codec Content,11,,,,1,6,,,,,,,,,,,,,,,


//ROOM 532
Station N1,12,1,,(22),,,,sony_lcd,10.156.26.131,1,,,,,397,,,,,,
Station N2,12,2,,(22),,,,sony_lcd,10.156.26.132,1,,,,,398,,,,,,
Station N3,12,3,,(22),,,,sony_lcd,10.156.26.133,1,,,,,399,,,,,,
Station N4,12,4,,(22),,,,sony_lcd,10.156.26.134,1,,,,,400,,,,,,
Station E1,12,5,,(22),,,,sony_lcd,10.156.26.135,1,,,,,401,,,,,,
Station W1,12,6,,(22),,,,sony_lcd,10.156.26.136,1,,,,,402,,,,,,
Station S1,12,7,,(22),,,,sony_lcd,10.156.26.137,1,,,,,403,,,,,,
Station S2,12,8,,(22),,,,sony_lcd,10.156.26.138,1,,,,,404,,,,,,
Station S3,12,9,,(22),,,,sony_lcd,10.156.26.139,1,,,,,405,,,,,,
Station S4,12,10,,(22),,,,sony_lcd,10.156.26.140,1,,,,,406,,,,,,

Panel Preview,12,50,,(22),,,,,,,,,,,384,,,,,,

Aux Feed,12,,8,,1,4,,,,,,,,,,,,,,,
Cisco Codec Camera,12,,,,1,5,,,,,,,,,,,,,,,
Cisco Codec Content,12,,,,1,6,,,,,,,,,,,,,,,


//ROOM 567
Zoom Content Input,13,34,,(23),,,,,,,,,,,300,,,,,,
Zoom PC USB Video Input,13,35,,(23),,,,,,,,,,,301,,,,,,
2X2 Display Left,13,2,,(23),,,,,,,,,,,328,02926b,,,,,
2X2 Display Center,13,3,,(23),,,,,,,,,,,329,,,,,,
2X2 Display Right,13,4,,(23),,,,,,,,,,,330,,,,,,

Projector,13,1,,,,,,sony_proj,10.156.26.143,1,,,,5,331,,,,,,

USB Video,13,31,,,,,,,,,,,,,422,,,,,,

Panel Preview,13,50,,,,,,,,,,,,,421,,,,,,

Aux Feed,13,,8,,1,4,,,,,,,,,,,,,,,
Cisco Codec Camera,13,,,,1,5,,,,,,,,,,,,,,,
Cisco Codec Content,13,,,,1,6,,,,,,,,,,,,,,,


//ROOM 640
Station N1,14,1,,(24),,,,sony_lcd,10.156.26.161,1,,,,,447,,,,,,
Station N2,14,2,,(24),,,,sony_lcd,10.156.26.162,1,,,,,448,,,,,,
Station N3,14,3,,(24),,,,sony_lcd,10.156.26.163,1,,,,,449,,,,,,
Station N4,14,4,,(24),,,,sony_lcd,10.156.26.164,1,,,,,450,,,,,,
Station W1,14,5,,(24),,,,sony_lcd,10.156.26.165,1,,,,,451,,,,,,
Station E1,14,6,,(24),,,,sony_lcd,10.156.26.166,1,,,,,452,,,,,,
Station S1,14,7,,(24),,,,sony_lcd,10.156.26.167,1,,,,,453,,,,,,
Station S2,14,8,,(24),,,,sony_lcd,10.156.26.168,1,,,,,454,,,,,,
Station S3,14,9,,(24),,,,sony_lcd,10.156.26.169,1,,,,,455,,,,,,
Station S4,14,10,,(24),,,,sony_lcd,10.156.26.170,1,,,,,456,,,,,,
Panel Preview,14,50,,(24),,,,,,,,,,,441,,,,,,


//ROOM 642
Station N1,15,1,,(25),,,,sony_lcd,10.156.26.171,1,,,,,457,,,,,,
Station N2,15,2,,(25),,,,sony_lcd,10.156.26.172,1,,,,,458,,,,,,
Station N3,15,3,,(25),,,,sony_lcd,10.156.26.173,1,,,,,459,,,,,,
Station N4,15,4,,(25),,,,sony_lcd,10.156.26.174,1,,,,,460,,,,,,
Station W1,15,5,,(25),,,,sony_lcd,10.156.26.176,1,,,,,462,,,,,,
Station E1,15,6,,(25),,,,sony_lcd,10.156.26.175,1,,,,,461,,,,,,
Station S1,15,7,,(25),,,,sony_lcd,10.156.26.177,1,,,,,463,,,,,,
Station S2,15,8,,(25),,,,sony_lcd,10.156.26.178,1,,,,,464,,,,,,
Station S3,15,9,,(25),,,,sony_lcd,10.156.26.179,1,,,,,465,,,,,,
Station S4,15,10,,(25),,,,sony_lcd,10.156.26.180,1,,,,,466,,,,,,

Panel Preview,15,50,,(20),,,,,,,,,,,444,,,,,,



//ROOM 727
Projector North,16,1,,,,,,sony_proj,10.156.26.181,1,,,,5,564,,,,,,
Projector East,16,2,,,,,,sony_proj,10.156.26.183,1,,,,5,568,02872e,,,,,
Projector South,16,3,,,,,,sony_proj,10.156.26.184,1,,,,5,570,,,,,,
Projector West,16,4,,,,,,sony_proj,10.156.26.182,1,,,,5,566,,,,,,

USB Video,16,31,,,,,,,,,,,,,562,,,,,,

Panel Preview,16,50,,,,,,,,,,,,,561,,,,,,

Aux Feed,16,,8,,1,4,,,,,,,,,,,,,,,
Cisco Codec Camera,16,,,,1,5,,,,,,,,,,,,,,,
Cisco Codec Content,16,,,,1,6,,,,,,,,,,,,,,,


//ROOM 855
Projector Left,18,1,,,,,,sony_proj,10.156.26.232,1,,,,5,585,,1,(34+),(33+),,
Projector Right,18,2,,,,,,sony_proj,10.156.26.231,1,,,,5,584,,1,(36+),(35+),,

Panel Preview,18,50,,,,,,,,,,,,,581,,,,,,

//NO CISCO CAPABILITY NEEDED IN THIS ROOM

//ROOM 880
Projector Left,19,1,,,,,,sony_proj,10.156.26.231,1,,,,5,604,,1,(38+),(37+),,
Projector Right,19,2,,,,,,sony_proj,10.156.26.232,1,,,,5,606,029262,1,(40+),(39+),,

USB Video,19,31,,,,,,,10.156.24.124,,,,,,602,,,,,,

Panel Preview,19,50,,,,,,,,,,,,,601,,,,,,

Aux Feed,19,,8,,1,4,,,,,,,,,,,,,,,
Cisco Codec Camera,19,,,,1,5,,,,,,,,,,,,,,,
Cisco Codec Content,19,,,,1,6,,,,,,,,,,,,,,,


//ROOM 513A
Video Conf Camera,,,,(50),,,,,,,,1,,,290,,,,,1,
Video Conf Camera,,,,(51),,,,,,,,2,,,293,,,,,1,
Video Conf Camera,,,,(52),,,,,,,,3,,,296,,,,,1,

Video Conf Content,,,,(50),,,,,,,,1,,,291,,,,,2,
Video Conf Content,,,,(51),,,,,,,,2,,,294,,,,,2,
Video Conf Content,,,,(52),,,,,,,,3,,,297,,,,,2,

Video Conf AuxIn,,,,(50),,,,,,,,1,,,292,,,,,3,
Video Conf AuxIn,,,,(51),,,,,,,,2,,,295,,,,,3,
Video Conf AuxIn,,,,(52),,,,,,,,3,,,298,,,,,3,

AJA KIPRO REC 5A-1,,,,(1),,,,,,,,,,,217,,,,,,
AJA KIPRO REC 5A-2,,,,(1),,,,,,,,,,,219,,,,,,
AJA KIPRO REC 5A-3,,,,(1),,,,,,,,,,,221,,,,,,
Capture PC 1 SDI Input 1,,,,(2),,,,,,,,,,,249,,,,,,
Capture PC 1 SDI Input 2,,,,(2),,,,,,,,,,,250,,,,,,
Capture PC 2 SDI Input 1,,,,(2),,,,,,,,,,,251,,,,,,
Capture PC 2 SDI Input 2,,,,(2),,,,,,,,,,,252,,,,,,
Capture PC 3 SDI Input 1,,,,(2),,,,,,,,,,,253,,,,,,
Capture PC 3 SDI Input 2,,,,(2),,,,,,,,,,,254,,,,,,
Capture PC 4 SDI Input 1,,,,(2),,,,,,,,,,,255,,,,,,
Capture PC 4 SDI Input 2,,,,(2),,,,,,,,,,,256,,,,,,
Capture PC 5 SDI Input 1,,,,(2),,,,,,,,,,,257,,,,,,
Capture PC 5 SDI Input 2,,,,(2),,,,,,,,,,,258,,,,,,
Capture PC 6 SDI Input 1,,,,(2),,,,,,,,,,,259,,,,,,
Capture PC 6 SDI Input 2,,,,(2),,,,,,,,,,,260,,,,,,
Capture PC 7 SDI Input 1,,,,(2),,,,,,,,,,,261,,,,,,
Capture PC 7 SDI Input 2,,,,(2),,,,,,,,,,,262,,,,,,
Capture PC 8 SDI Input 1,,,,(2),,,,,,,,,,,263,,,,,,
Capture PC 8 SDI Input 2,,,,(2),,,,,,,,,,,264,,,,,,
Capture PC 9 SDI Input 1,,,,(2),,,,,,,,,,,265,,,,,,
Capture PC 9 SDI Input 2,,,,(2),,,,,,,,,,,266,,,,,,
Capture PC 10 SDI Input 1,,,,(2),,,,,,,,,,,267,,,,,,
Capture PC 10 SDI Input 2,,,,(2),,,,,,,,,,,268,,,,,,


//Filming Studio
FILMING-512-HDMI OUTPUT,,,,(29),,,,,,,,,,,247,,,,,,


//222 Forum
LED Wall VidProc Input 1,23,01,,(33),,,,,,,,,,,50,,,,,,
LED Wall VidProc Input 2,23,02,,(33),,,,,,,,,,,51,,,,,,
LED Wall VidProc Input 3,23,03,,(33),,,,,,,,,,,52,,,,,,
LED Wall VidProc Input 4,23,04,,(33),,,,,,,,,,,53,,,,,,
Projector VidProc Input 1,23,05,,(36),,,,,,,,,,,38,,,,,,
Projector VidProc Input 2,23,06,,(36),,,,,,,,,,,39,,,,,,
Projector VidProc Input 3,23,07,,(36),,,,,,,,,,,40,,,,,,
Projector VidProc Input 4,23,08,,(36),,,,,,,,,,,41,,,,,,

PROJ 2B-1,23,09,,,,,01,barco_proj,10.156.26.11,1,,,,,,,1,(2+29+),(1+30+),,
PROJ 2B-4,23,10,,,,,01,barco_proj,10.156.26.12,1,,,,,,,,,,,

LED Tile Matrix,23,49,,,,,02,led_matrix,10.156.32.250,1,,,,,,,1,,,,

North Soffit Display 1,23,11,,(38),,,,sony_lcd,10.156.26.13,1,,,,,12,,,,,,
North Soffit Display 2,23,12,,(38),,,,sony_lcd,10.156.26.14,1,,,,,13,,,,,,
North Soffit Display 3,23,13,,(38),,,,sony_lcd,10.156.26.15,1,,,,,14,,,,,,
North Soffit Display 4,23,14,,(38),,,,sony_lcd,10.156.26.16,1,,,,,15,,,,,,
South Soffit Display 1,23,15,,(38),,,,sony_lcd,10.156.26.17,1,,,,,16,,,,,,
South Soffit Display 2,23,16,,(38),,,,sony_lcd,10.156.26.18,1,,,,,17,,,,,,
South Soffit Display 3,23,17,,(38),,,,sony_lcd,10.156.26.19,1,,,,,18,,,,,,
South Soffit Display 4,23,18,,(38),,,,sony_lcd,10.156.26.20,1,,,,,19,,,,,,

Throwdown A-HDMI Out 1,23,21,,(30),,,,,,,,,,,4,,,,,,
Throwdown A-HDMI Out 2,23,22,,(30),,,,,,,,,,,5,,,,,,

Stage Podium HDMI Out 1,23,23,,(35),,,,,,,,,,,7,,,,,,
Stage Podium HDMI Out 2,23,24,,(35),,,,,,,,,,,8,,,,,,

Mix Cart HDMI Out 1,23,25,,(34),,,,,,,,,,,1,,,,,,
MIX Cart HDMI Out 2,23,26,,(34),,,,,,,,,,,2,,,,,,

KVM TX For SW 2A-1-LOCKED ROUTE,23,38,,(32),,,,,,,,,,,34,,,,,,

Touch Panel Video Preview,23,50,,(31),,,,,,,,,,,32,,,,,,

Capture PC 1-SDI In 1,23,28,,(37),,,,,,,,,,,24,,,,,,
Capture PC 1-SDI In 2,23,29,,(37),,,,,,,,,,,25,,,,,,
Matrox Recorder 1,23,30,,(37),,,,,,,,,,,26,,,,,,
Flex PC 2A-1 USB Video Input,23,31,,(39),,,,,,,,,,,33,,,,,,

Tricaster 2A-1 SDI In 1,23,32,,(40),,,,,,,,,,,20,,,,,,
Tricaster 2A-1 SDI In 2,23,33,,(40),,,,,,,,,,,21,,,,,,
Tricaster 2A-1 SDI In 3,23,34,,(40),,,,,,,,,,,22,,,,,,
Tricaster 2A-1 SDI In 4,23,35,,(40),,,,,,,,,,,23,,,,,,
NC1 Expander 2A-2 Input 1,23,36,,(41),,,,,,,,,,,27,,,,,,
NC1 Expander 2A-2 Input 2,23,37,,(41),,,,,,,,,,,28,,,,,,
NC1 Expander 2A-2 Input 3,23,38,,(41),,,,,,,,,,,29,,,,,,
NC1 Expander 2A-2 Input 4,23,39,,(41),,,,,,,,,,,30,,,,,,



//Remote Classrooms
ZeeVee Encoder 1,,,,(45),,,,,,,,,,,312,,,,,,
ZeeVee Encoder 2,,,,(45),,,,,,,,,,,313,,,,,,
ZeeVee Encoder 3,,,,(45),,,,,,,,,,,314,,,,,,
ZeeVee Encoder 4,,,,(45),,,,,,,,,,,315,,,,,,





//SimDeck 731
Projector Left,17,01,,,,,,christie_proj,10.156.26.221,1,,,,,,,,,,,
Projector Center,17,02,,,,,,christie_proj,10.156.26.222,1,,,,,,,,,,,
Projector Right,17,03,,,,,,christie_proj,10.156.26.223,1,,,,,,,,,,,
Watchout MediaServer In1,17,04,,(44),,,,,,,,,,,242,,,,,,
Watchout MediaServer In2,17,05,,(44),,,,,,,,,,,243,,,,,,


Throwdown A-HDMI Out 1,17,11,,(42),,,,,,,,,,,521,,,,,,
Throwdown A-HDMI Out 2,17,12,,(42),,,,,,,,,,,522,,,,,,
Throwdown B-HDMI Out 1,17,13,,(42),,,,,,,,,,,524,,,,,,
Throwdown B-HDMI Out 2,17,14,,(42),,,,,,,,,,,525,,,,,,
Throwdown C-HDMI Out 1,17,15,,(42),,,,,,,,,,,527,,,,,,
Throwdown C-HDMI Out 2,17,16,,(42),,,,,,,,,,,528,,,,,,
Throwdown D-HDMI Out 1,17,17,,(42),,,,,,,,,,,530,,,,,,
Throwdown D-HDMI Out 2,17,18,,(42),,,,,,,,,,,531,,,,,,


		//Control Room
VW POS 1,17,21,,(43),,,,lg_lcd,,1,,,,,481,,,,,,
VW POS 2,17,22,,(43),,,,lg_lcd,,1,,,,,482,,,,,,
VW POS 3,17,23,,(43),,,,lg_lcd,,1,,,,,483,,,,,,
VW POS 4,17,24,,(43),,,,lg_lcd,,1,,,,,484,,,,,,
VW POS 5,17,25,,(43),,,,lg_lcd,,1,,,,,485,,,,,,
VW POS 6,17,26,,(43),,,,lg_lcd,,1,,,,,487,,,,,,
VW POS 9,17,27,,(43),,,,lg_lcd,,1,,,,,488,,,,,,
VW POS 10,17,28,,(43),,,,lg_lcd,,1,,,,,489,,,,,,
VW POS 13,17,29,,(43),,,,lg_lcd,,1,,,,,490,,,,,,
VW POS 14,17,30,,(43),,,,lg_lcd,,1,,,,,491,,,,,,
VW POS 7,17,31,,(43),,,,lg_lcd,,1,,,,,492,,,,,,
VW POS 8,17,32,,(43),,,,lg_lcd,,1,,,,,493,,,,,,
VW POS 11,17,33,,(43),,,,lg_lcd,,1,,,,,494,,,,,,
VW POS 12,17,34,,(43),,,,lg_lcd,,1,,,,,495,,,,,,
VW POS 15,17,35,,(43),,,,lg_lcd,,1,,,,,496,,,,,,
VW POS 16,17,36,,(43),,,,lg_lcd,,1,,,,,497,,,,,,
VW POS 17,17,37,,(43),,,,lg_lcd,,1,,,,,498,,,,,,
VW POS 18,17,38,,(43),,,,lg_lcd,,1,,,,,499,,,,,,
VW POS 19,17,39,,(43),,,,lg_lcd,,1,,,,,500,,,,,,
VW POS 20,17,40,,(43),,,,lg_lcd,,1,,,,,501,,,,,,


Panel Preview,17,50,,,,,,,,,,,,,486,,,,,,



