local_name,room_ass=,EVERTZ ID ,filter=(x),END COMMA
local_name=150pLS-305-LECTERN CONFIDENCE MONITOR, room_ass=, cmd_io=81, filter=(11),
local_name=150pLS-305-LECTERN PC USB VIDEO INPUT, room_ass=, cmd_io=82, filter=(11),
local_name=150pLS-305-PROJ-1, room_ass=, cmd_io=87, filter=(11),
local_name=150pLS-305-PROJ-2, room_ass=, cmd_io=89, filter=(11),
local_name=150pLS-305-PROJ-3, room_ass=, cmd_io=90, filter=(11),
local_name=150pLS-305-PROJ-4, room_ass=, cmd_io=92, filter=(11),
local_name=150pLS-305-PROJ-5, room_ass=, cmd_io=93, filter=(11),
local_name=150pLS-305-PROJ-6, room_ass=, cmd_io=95, filter=(11),
local_name=150pLS-305-PROJ-7, room_ass=, cmd_io=96, filter=(11),
local_name=150pLS-305-PROJ-8, room_ass=, cmd_io=98, filter=(11),
local_name=150pLS-306-LECTERN CONFIDENCE MONITOR, room_ass=, cmd_io=84, filter=(12),
local_name=150pLS-306-LECTERN PC USB VIDEO INPUT, room_ass=, cmd_io=85, filter=(12),
local_name=150pLS-306-PROJ-9, room_ass=, cmd_io=99, filter=(12),
local_name=150pLS-306-PROJ-10, room_ass=, cmd_io=101, filter=(12),
local_name=150pLS-306-PROJ-11, room_ass=, cmd_io=102, filter=(12),
local_name=150pLS-306-PROJ-12, room_ass=, cmd_io=104, filter=(12),
local_name=150pLS-306-PROJ-13, room_ass=, cmd_io=105, filter=(12),
local_name=150pLS-306-PROJ-14, room_ass=, cmd_io=106, filter=(12),
local_name=150pLS-306-PROJ-15, room_ass=, cmd_io=107, filter=(12),
local_name=150pLS-306-PROJ-16, room_ass=, cmd_io=108, filter=(12),
local_name=20.40pCR-320-LECTERN CONFIDENCE MONITOR, room_ass=, cmd_io=131, filter=(13),
local_name=20.40pCR-320-LECTERN PC USB VIDEO INPUT, room_ass=, cmd_io=132, filter=(13),
local_name=20.40pCR-320-PROJECTOR, room_ass=, cmd_io=143, filter=(13),
local_name=20.40pCR-321-LECTERN CONFIDENCE MONITOR, room_ass=, cmd_io=134, filter=(14),
local_name=20.40pCR-321-LECTERN PC USB VIDEO INPUT, room_ass=, cmd_io=135, filter=(14),
local_name=20.40pCR-321-PROJECTOR-1, room_ass=, cmd_io=145, filter=(14),
local_name=20.40pCR-321-PROJECTOR-2, room_ass=, cmd_io=147, filter=(14),
local_name=20.40pCR-322-LECTERN CONFIDENCE MONITOR, room_ass=, cmd_io=137, filter=(15),
local_name=20.40pCR-322-LECTERN PC USB VIDEO INPUT, room_ass=, cmd_io=138, filter=(15),
local_name=20.40pCR-322-PROJECTOR-1, room_ass=, cmd_io=149, filter=(15),
local_name=20.40pCR-322-PROJECTOR-2, room_ass=, cmd_io=151, filter=(15),
local_name=20.40pCR-323-LECTERN CONFIDENCE MONITOR, room_ass=, cmd_io=140, filter=(16),
local_name=20.40pCR-323-LECTERN PC USB VIDEO INPUT, room_ass=, cmd_io=141, filter=(16),
local_name=20.40pCR-323-PROJECTOR, room_ass=, cmd_io=153, filter=(16),
local_name=20.40pCR-442-LECTERN CONFIDENCE MONITOR, room_ass=, cmd_io=180, filter=(17),
local_name=20.40pCR-442-LECTERN PC USB VIDEO INPUT, room_ass=, cmd_io=181, filter=(17),
local_name=20.40pCR-442-PROJECTOR, room_ass=, cmd_io=193, filter=(17),
local_name=20.40pCR-443-LECTERN CONFIDENCE MONITOR, room_ass=, cmd_io=177, filter=(18),
local_name=20.40pCR-443-LECTERN PC USB VIDEO INPUT, room_ass=, cmd_io=178, filter=(18),
local_name=20.40pCR-443-PROJECTOR-1, room_ass=, cmd_io=189, filter=(18),
local_name=20.40pCR-443-PROJECTOR-2, room_ass=, cmd_io=191, filter=(18),
local_name=20.40pCR-444-LECTERN CONFIDENCE MONITOR, room_ass=, cmd_io=174, filter=(19),
local_name=20.40pCR-444-LECTERN PC USB VIDEO INPUT, room_ass=, cmd_io=175, filter=(19),
local_name=20.40pCR-444-PROJECTOR-1, room_ass=, cmd_io=185, filter=(19),
local_name=20.40pCR-444-PROJECTOR-2, room_ass=, cmd_io=187, filter=(19),
local_name=20.40pCR-445-LECTERN CONFIDENCE MONITOR, room_ass=, cmd_io=171, filter=(20),
local_name=20.40pCR-445-LECTERN PC USB VIDEO INPUT, room_ass=, cmd_io=172, filter=(20),
local_name=20.40pCR-445-PROJECTOR, room_ass=, cmd_io=183, filter=(20),
local_name=60pLS-531-LECTERN CONFIDENCE MONITOR, room_ass=, cmd_io=381, filter=(21),
local_name=60pLS-531-N1-STUDENT-DISPLAY, room_ass=, cmd_io=387, filter=(21),
local_name=60pLS-531-N2-STUDENT-DISPLAY, room_ass=, cmd_io=388, filter=(21),
local_name=60pLS-531-N3-STUDENT-DISPLAY, room_ass=, cmd_io=389, filter=(21),
local_name=60pLS-531-N4-STUDENT-DISPLAY, room_ass=, cmd_io=390, filter=(21),
local_name=60pLS-531-W1-STUDENT-DISPLAY, room_ass=, cmd_io=391, filter=(21),
local_name=60pLS-531-E1-STUDENT-DISPLAY, room_ass=, cmd_io=392, filter=(21),
local_name=60pLS-531-S1-STUDENT-DISPLAY, room_ass=, cmd_io=393, filter=(21),
local_name=60pLS-531-S2-STUDENT-DISPLAY, room_ass=, cmd_io=394, filter=(21),
local_name=60pLS-531-S3-STUDENT-DISPLAY, room_ass=, cmd_io=395, filter=(21),
local_name=60pLS-531-S4-STUDENT-DISPLAY, room_ass=, cmd_io=396, filter=(21),
local_name=60pLS-532-LECTERN CONFIDENCE MONITOR, room_ass=, cmd_io=384, filter=(22),
local_name=60pLS-532-N1-STUDENT-DISPLAY, room_ass=, cmd_io=397, filter=(22),
local_name=60pLS-532-N2-STUDENT-DISPLAY, room_ass=, cmd_io=398, filter=(22),
local_name=60pLS-532-N3-STUDENT-DISPLAY, room_ass=, cmd_io=399, filter=(22),
local_name=60pLS-532-N4-STUDENT-DISPLAY, room_ass=, cmd_io=400, filter=(22),
local_name=60pLS-532-E1-STUDENT-DISPLAY, room_ass=, cmd_io=401, filter=(22),
local_name=60pLS-532-W1-STUDENT-DISPLAY, room_ass=, cmd_io=402, filter=(22),
local_name=60pLS-532-S1-STUDENT-DISPLAY, room_ass=, cmd_io=403, filter=(22),
local_name=60pLS-532-S2-STUDENT-DISPLAY, room_ass=, cmd_io=404, filter=(22),
local_name=60pLS-532-S3-STUDENT-DISPLAY, room_ass=, cmd_io=405, filter=(22),
local_name=60pLS-532-S4-STUDENT-DISPLAY, room_ass=, cmd_io=406, filter=(22),
local_name=50pCR-567-ZOOM-ROOM-CONTENT INPUT, room_ass=, cmd_io=300, filter=(23),
local_name=50pCR-567-ZOOM-ROOM-PC USB VIDEO INPUT, room_ass=, cmd_io=301, filter=(23),
local_name=50pCR-567-2X2-DISPLAY-LEFT, room_ass=, cmd_io=328, filter=(23),
local_name=50pCR-567-2X2-DISPLAY-CENTER, room_ass=, cmd_io=329, filter=(23),
local_name=50pCR-567-2X2-DISPLAY-RIGHT, room_ass=, cmd_io=330, filter=(23),
local_name=50pCR-567-PROJECTOR, room_ass=, cmd_io=331, filter=(23),
local_name=50pCR-567-LECTERN CONFIDENCE MONITOR, room_ass=, cmd_io=421, filter=(23),
local_name=50pCR-567-LECTERN PC USB VIDEO INPUT, room_ass=, cmd_io=422, filter=(23),
local_name=60pLS-640-LECTERN CONFIDENCE MONITOR, room_ass=, cmd_io=441, filter=(24),
local_name=UNUSED-60pLS-640-HDMI OUT 2, room_ass=, cmd_io=442, filter=(24),
local_name=60pLS-640-N1-STUDENT-DISPLAY, room_ass=, cmd_io=447, filter=(24),
local_name=60pLS-640-N2-STUDENT-DISPLAY, room_ass=, cmd_io=448, filter=(24),
local_name=60pLS-640-N3-STUDENT-DISPLAY, room_ass=, cmd_io=449, filter=(24),
local_name=60pLS-640-N4-STUDENT-DISPLAY, room_ass=, cmd_io=450, filter=(24),
local_name=60pLS-640-W1-STUDENT-DISPLAY, room_ass=, cmd_io=451, filter=(24),
local_name=60pLS-640-E1-STUDENT-DISPLAY, room_ass=, cmd_io=452, filter=(24),
local_name=60pLS-640-S1-STUDENT-DISPLAY, room_ass=, cmd_io=453, filter=(24),
local_name=60pLS-640-S2-STUDENT-DISPLAY, room_ass=, cmd_io=454, filter=(24),
local_name=60pLS-640-S3-STUDENT-DISPLAY, room_ass=, cmd_io=455, filter=(24),
local_name=60pLS-640-S4-STUDENT-DISPLAY, room_ass=, cmd_io=456, filter=(24),
local_name=60pLS-642-LECTERN CONFIDENCE MONITOR, room_ass=, cmd_io=444, filter=(25),
local_name=UNUSED-60pLS-642-HDMI OUT 2, room_ass=, cmd_io=445, filter=(25),
local_name=60pLS-642-N1-STUDENT-DISPLAY, room_ass=, cmd_io=457, filter=(25),
local_name=60pLS-642-N2-STUDENT-DISPLAY, room_ass=, cmd_io=458, filter=(25),
local_name=60pLS-642-N3-STUDENT-DISPLAY, room_ass=, cmd_io=459, filter=(25),
local_name=60pLS-642-N4-STUDENT-DISPLAY, room_ass=, cmd_io=460, filter=(25),
local_name=60pLS-642-E1-STUDENT-DISPLAY, room_ass=, cmd_io=461, filter=(25),
local_name=60pLS-642-W1-STUDENT-DISPLAY, room_ass=, cmd_io=462, filter=(25),
local_name=60pLS-642-S1-STUDENT-DISPLAY, room_ass=, cmd_io=463, filter=(25),
local_name=60pLS-642-S2-STUDENT-DISPLAY, room_ass=, cmd_io=464, filter=(25),
local_name=60pLS-642-S3-STUDENT-DISPLAY, room_ass=, cmd_io=465, filter=(25),
local_name=60pLS-642-S4-STUDENT-DISPLAY, room_ass=, cmd_io=466, filter=(25),
local_name=TELEVIZ-727-LECTERN CONFIDENCE MONITOR, room_ass=, cmd_io=561, filter=(26),
local_name=TELEVIZ-727-LECTERN PC USB VIDEO INPUT, room_ass=, cmd_io=562, filter=(26),
local_name=TELEVIZ-727-PROJECTOR-1, room_ass=, cmd_io=564, filter=(26),
local_name=TELEVIZ-727-PROJECTOR-2, room_ass=, cmd_io=566, filter=(26),
local_name=TELEVIZ-727-PROJECTOR-3, room_ass=, cmd_io=568, filter=(26),
local_name=TELEVIZ-727-PROJECTOR-4, room_ass=, cmd_io=570, filter=(26),
local_name=SP-TRNG-855-LECTERN CONFIDENCE MONITOR, room_ass=, cmd_io=581, filter=(27),
local_name=SP-TRNG-855-PROJECTOR-1, room_ass=, cmd_io=584, filter=(27),
local_name=SP-TRNG-855-PROJECTOR-2, room_ass=, cmd_io=585, filter=(27),
local_name=60pCR-880-LECTERN CONFIDENCE MONITOR, room_ass=, cmd_io=601, filter=(28),
local_name=60pCR-880-LECTERN PC USB VIDEO INPUT, room_ass=, cmd_io=602, filter=(28),
local_name=60pCR-880-PROJECTOR-1, room_ass=, cmd_io=604, filter=(28),
local_name=60pCR-880-PROJECTOR-2, room_ass=, cmd_io=606, filter=(28),
local_name=FILMING-512-HDMI OUTPUT, room_ass=, cmd_io=247, filter=(29),
local_name=FORUM THROWDOWN A-HDMI OUT 1, room_ass=, cmd_io=4, filter=(30),
local_name=FORUM THROWDOWN A-HDMI OUT 2, room_ass=, cmd_io=5, filter=(30),
local_name=FORUM CONTROL UI VIDEO PREVIEW CRESTRON DGE, room_ass=, cmd_io=32, filter=(31),
local_name=FORUM KVM TX FOR SW 2A-1-LOCKED ROUTE, room_ass=, cmd_io=34, filter=(32),
local_name=FORUM-LED-VWP-INPUT-1, room_ass=, cmd_io=50, filter=(33),
local_name=FORUM-LED-VWP-INPUT-2, room_ass=, cmd_io=51, filter=(33),
local_name=FORUM-LED-VWP-INPUT-3, room_ass=, cmd_io=52, filter=(33),
local_name=FORUM-LED-VWP-INPUT-4, room_ass=, cmd_io=53, filter=(33),
local_name=FORUM MIX CART HDMI OUT 1, room_ass=, cmd_io=1, filter=(34),
local_name=FORUM MIX CART HDMI OUT 2, room_ass=, cmd_io=2, filter=(34),
local_name=FORUM STAGE PODIUM HDMI OUT 1, room_ass=, cmd_io=7, filter=(35),
local_name=FORUM STAGE PODIUM HDMI OUT 2, room_ass=, cmd_io=8, filter=(35),
local_name=FORUM-PJBLEND-VWP-INPUT-1, room_ass=, cmd_io=38, filter=(36),
local_name=FORUM-PJBLEND-VWP-INPUT-2, room_ass=, cmd_io=39, filter=(36),
local_name=FORUM-PJBLEND-VWP-INPUT-3, room_ass=, cmd_io=40, filter=(36),
local_name=FORUM-PJBLEND-VWP-INPUT-4, room_ass=, cmd_io=41, filter=(36),
local_name=FORUM CAPTURE PC 1-SDI IN 1, room_ass=, cmd_io=24, filter=(37),
local_name=FORUM CAPTURE PC 1-SDI IN 2, room_ass=, cmd_io=25, filter=(37),
local_name=FORUM MATROX RECORDER 1, room_ass=, cmd_io=26, filter=(37),
local_name=NORTH FORUM SOFFIT DISPLAY 1, room_ass=, cmd_io=12, filter=(38),
local_name=NORTH FORUM SOFFIT DISPLAY 2, room_ass=, cmd_io=13, filter=(38),
local_name=NORTH FORUM SOFFIT DISPLAY 3, room_ass=, cmd_io=14, filter=(38),
local_name=NORTH FORUM SOFFIT DISPLAY 4, room_ass=, cmd_io=15, filter=(38),
local_name=SOUTH FORUM SOFFIT DISPLAY 1, room_ass=, cmd_io=16, filter=(38),
local_name=SOUTH FORUM SOFFIT DISPLAY 2, room_ass=, cmd_io=17, filter=(38),
local_name=SOUTH FORUM SOFFIT DISPLAY 3, room_ass=, cmd_io=18, filter=(38),
local_name=SOUTH FORUM SOFFIT DISPLAY 4, room_ass=, cmd_io=19, filter=(38),
local_name=FORUM FLEX PC 2A-1 USB VIDEO INPUT, room_ass=, cmd_io=33, filter=(39),
local_name=FORUM TRICASTER 2A-1 SDI IN 1, room_ass=, cmd_io=20, filter=(40),
local_name=FORUM TRICASTER 2A-1 SDI IN 2, room_ass=, cmd_io=21, filter=(40),
local_name=FORUM TRICASTER 2A-1 SDI IN 3, room_ass=, cmd_io=22, filter=(40),
local_name=FORUM TRICASTER 2A-1 SDI IN 4, room_ass=, cmd_io=23, filter=(40),
local_name=FORUM NC1 EXPANDER 2A-2 INPUT 1, room_ass=, cmd_io=27, filter=(41),
local_name=FORUM NC1 EXPANDER 2A-2 INPUT 2, room_ass=, cmd_io=28, filter=(41),
local_name=FORUM NC1 EXPANDER 2A-2 INPUT 3, room_ass=, cmd_io=29, filter=(41),
local_name=FORUM NC1 EXPANDER 2A-2 INPUT 4, room_ass=, cmd_io=30, filter=(41),
local_name=BIOCOMM ZEEVEE ENCODER 1, room_ass=, cmd_io=312, filter=(45),
local_name=BIOCOMM ZEEVEE ENCODER 2, room_ass=, cmd_io=313, filter=(45),
local_name=BIOCOMM ZEEVEE ENCODER 3, room_ass=, cmd_io=314, filter=(45),
local_name=BIOCOMM ZEEVEE ENCODER 4, room_ass=, cmd_io=315, filter=(45),
local_name=SIMDECK THROWDOWN A-HDMI OUT 1, room_ass=, cmd_io=521, filter=(42),
local_name=SIMDECK THROWDOWN A-HDMI OUT 2, room_ass=, cmd_io=522, filter=(42),
local_name=SIMDECK THROWDOWN B-HDMI OUT 1, room_ass=, cmd_io=524, filter=(42),
local_name=SIMDECK THROWDOWN B-HDMI OUT 2, room_ass=, cmd_io=525, filter=(42),
local_name=SIMDECK THROWDOWN C-HDMI OUT 1, room_ass=, cmd_io=527, filter=(42),
local_name=SIMDECK THROWDOWN C-HDMI OUT 2, room_ass=, cmd_io=528, filter=(42),
local_name=SIMDECK THROWDOWN D-HDMI OUT 1, room_ass=, cmd_io=530, filter=(42),
local_name=SIMDECK THROWDOWN D-HDMI OUT 2, room_ass=, cmd_io=531, filter=(42),
local_name=SIMDECK VW POS 1, room_ass=, cmd_io=481, filter=(43),
local_name=SIMDECK VW POS 2, room_ass=, cmd_io=482, filter=(43),
local_name=SIMDECK VW POS 3, room_ass=, cmd_io=483, filter=(43),
local_name=SIMDECK VW POS 4, room_ass=, cmd_io=484, filter=(43),
local_name=SIMDECK VW POS 5, room_ass=, cmd_io=485, filter=(43),
local_name=SIMDECK VW POS 6, room_ass=, cmd_io=487, filter=(43),
local_name=SIMDECK VW POS 9, room_ass=, cmd_io=488, filter=(43),
local_name=SIMDECK VW POS 10, room_ass=, cmd_io=489, filter=(43),
local_name=SIMDECK VW POS 13, room_ass=, cmd_io=490, filter=(43),
local_name=SIMDECK VW POS 14, room_ass=, cmd_io=491, filter=(43),
local_name=SIMDECK VW POS 7, room_ass=, cmd_io=492, filter=(43),
local_name=SIMDECK VW POS 8, room_ass=, cmd_io=493, filter=(43),
local_name=SIMDECK VW POS 11, room_ass=, cmd_io=494, filter=(43),
local_name=SIMDECK VW POS 12, room_ass=, cmd_io=495, filter=(43),
local_name=SIMDECK VW POS 15, room_ass=, cmd_io=496, filter=(43),
local_name=SIMDECK VW POS 16, room_ass=, cmd_io=497, filter=(43),
local_name=SIMDECK VW POS 17, room_ass=, cmd_io=498, filter=(43),
local_name=SIMDECK VW POS 18, room_ass=, cmd_io=499, filter=(43),
local_name=SIMDECK VW POS 19, room_ass=, cmd_io=500, filter=(43),
local_name=SIMDECK VW POS 20, room_ass=, cmd_io=501, filter=(43),
local_name=SIMDECK-WATCHOUT MEDIA SERVER-SDI IN 1, room_ass=, cmd_io=242, filter=(44),
local_name=SIMDECK-WATCHOUT MEDIA SERVER-SDI IN 2, room_ass=, cmd_io=243, filter=(44),
